"category","item_gmv","orders","aov"
"health_beauty",1185167.18,7266,163.111365
"watches_gifts",1086114.60,4902,221.565606
"bed_bath_table",990556.63,7464,132.711231
"sports_leisure",908297.82,6146,147.786824
"computers_accessories",827478.47,5406,153.066680
"furniture_decor",702082.21,4846,144.878706
"housewares",628461.35,4589,136.949521
"auto",547760.84,3253,168.386363
"cool_stuff",501565.31,2581,194.329837
"garden_tools",432605.17,2765,156.457566
